"database_id","target_id","comparator_id","analysis_id","covariate_id","coefficient"
"HIRA",763,680,1,0,-2.13367039117916
"HIRA",763,680,1,433596202,0.343703522660856
"HIRA",763,680,1,440921210,0.256492563491476
"HIRA",763,680,1,378253202,-0.252840781258654
"HIRA",763,680,1,4239975210,-0.198664048596654
"HIRA",763,680,1,36683564210,0.146183924302728
"HIRA",763,680,1,4276360210,-0.145862432472426
"HIRA",763,680,1,4181064210,0.139940631208231
"HIRA",763,680,1,4301699210,0.132464797252103
"HIRA",763,680,1,444108210,-0.123984305422253
"HIRA",763,680,1,73553210,0.119402724026235
"HIRA",763,680,1,201340210,0.114314550592493
"HIRA",763,680,1,317009210,0.111662767188912
"HIRA",763,680,1,4225273210,0.106933143307835
"HIRA",763,680,1,4134294210,0.106920511176235
"HIRA",763,680,1,321588210,-0.103609353483966
"HIRA",763,680,1,4318404210,-0.100122158576983
"HIRA",763,680,1,4170143210,-0.0980966941568224
"HIRA",763,680,1,138525210,0.0746892914476906
"HIRA",763,680,1,256451202,-0.0727492994156126
"HIRA",763,680,1,255848210,-0.0706082727366107
"HIRA",763,680,1,320128202,0.0556793784209709
"HIRA",763,680,1,25297202,-0.0441025399914413
"HIRA",763,680,1,141253202,-0.0440888035272
"HIRA",763,680,1,4095850210,0.0338290890405952
"HIRA",763,680,1,194133210,0.0264643832098367
"HIRA",763,680,1,42537893210,0.0261415065862166
"HIRA",763,680,1,196151210,0.0218180270327
"HIRA",763,680,1,4193990210,-0.0201295316721143
"HIRA",763,680,1,8507001,0.0196519223498031
"HIRA",763,680,1,378253210,-0.0158903220415492
"HIRA",763,680,1,378425202,0.0133941533016782
"HIRA",763,680,1,442752202,0.0104245068692423
"HIRA",763,680,1,31967210,-0.00942868422697725
"HIRA",763,680,1,444187210,0.00413861988522517
"HIRA",763,680,1,4320791210,0.00347735621073823
"HIRA",763,680,2,0,-1.78208129564153
"HIRA",763,680,3,0,-2.13367039117916
"HIRA",763,680,3,433596202,0.343703522660856
"HIRA",763,680,3,440921210,0.256492563491476
"HIRA",763,680,3,378253202,-0.252840781258654
"HIRA",763,680,3,4239975210,-0.198664048596654
"HIRA",763,680,3,36683564210,0.146183924302728
"HIRA",763,680,3,4276360210,-0.145862432472426
"HIRA",763,680,3,4181064210,0.139940631208231
"HIRA",763,680,3,4301699210,0.132464797252103
"HIRA",763,680,3,444108210,-0.123984305422253
"HIRA",763,680,3,73553210,0.119402724026235
"HIRA",763,680,3,201340210,0.114314550592493
"HIRA",763,680,3,317009210,0.111662767188912
"HIRA",763,680,3,4225273210,0.106933143307835
"HIRA",763,680,3,4134294210,0.106920511176235
"HIRA",763,680,3,321588210,-0.103609353483966
"HIRA",763,680,3,4318404210,-0.100122158576983
"HIRA",763,680,3,4170143210,-0.0980966941568224
"HIRA",763,680,3,138525210,0.0746892914476906
"HIRA",763,680,3,256451202,-0.0727492994156126
"HIRA",763,680,3,255848210,-0.0706082727366107
"HIRA",763,680,3,320128202,0.0556793784209709
"HIRA",763,680,3,25297202,-0.0441025399914413
"HIRA",763,680,3,141253202,-0.0440888035272
"HIRA",763,680,3,4095850210,0.0338290890405952
"HIRA",763,680,3,194133210,0.0264643832098367
"HIRA",763,680,3,42537893210,0.0261415065862166
"HIRA",763,680,3,196151210,0.0218180270327
"HIRA",763,680,3,4193990210,-0.0201295316721143
"HIRA",763,680,3,8507001,0.0196519223498031
"HIRA",763,680,3,378253210,-0.0158903220415492
"HIRA",763,680,3,378425202,0.0133941533016782
"HIRA",763,680,3,442752202,0.0104245068692423
"HIRA",763,680,3,31967210,-0.00942868422697725
"HIRA",763,680,3,444187210,0.00413861988522517
"HIRA",763,680,3,4320791210,0.00347735621073823
